(50000, 7)
(50000, 7)
char_to_id:  {'6': 0, '4': 1, '7': 2, '+': 3, '0': 4, ' ': 5, '_': 6, '8': 7, '*': 8, '9': 9, '3': 10, '2': 11, '5': 12, '1': 13}
id_to_char:  {0: '6', 1: '4', 2: '7', 3: '+', 4: '0', 5: ' ', 6: '_', 7: '8', 8: '*', 9: '9', 10: '3', 11: '2', 12: '5', 13: '1'}
| 에폭 1 |  반복 1 / 351 | 시간 0[s] | 손실 2.64
| 에폭 192 |  반복 61 / 351 | 시간 1[s] | 손실 0.33
| 에폭 192 |  반복 81 / 351 | 시간 2[s] | 손실 0.31
| 에폭 192 |  반복 101 / 351 | 시간 2[s] | 손실 0.32
| 에폭 192 |  반복 121 / 351 | 시간 3[s] | 손실 0.32
| 에폭 192 |  반복 141 / 351 | 시간 3[s] | 손실 0.30
| 에폭 192 |  반복 161 / 351 | 시간 4[s] | 손실 0.31
| 에폭 192 |  반복 181 / 351 | 시간 4[s] | 손실 0.30
| 에폭 192 |  반복 201 / 351 | 시간 5[s] | 손실 0.32
| 에폭 192 |  반복 221 / 351 | 시간 5[s] | 손실 0.30
| 에폭 192 |  반복 241 / 351 | 시간 6[s] | 손실 0.31
| 에폭 192 |  반복 261 / 351 | 시간 6[s] | 손실 0.31
| 에폭 192 |  반복 281 / 351 | 시간 7[s] | 손실 0.31
| 에폭 192 |  반복 301 / 351 | 시간 7[s] | 손실 0.35
| 에폭 192 |  반복 321 / 351 | 시간 8[s] | 손실 0.34
| 에폭 192 |  반복 341 / 351 | 시간 8[s] | 손실 0.32
| 에폭 192 |  반복 1 / 351 | 시간 0[s] | 손실 0.25
| 에폭 192 |  반복 21 / 351 | 시간 0[s] | 손실 0.30
| 에폭 192 |  반복 41 / 351 | 시간 1[s] | 손실 0.31
| 에폭 192 |  반복 61 / 351 | 시간 1[s] | 손실 0.30
| 에폭 192 |  반복 81 / 351 | 시간 2[s] | 손실 0.31
| 에폭 192 |  반복 101 / 351 | 시간 2[s] | 손실 0.32
| 에폭 192 |  반복 121 / 351 | 시간 2[s] | 손실 0.31
| 에폭 192 |  반복 141 / 351 | 시간 3[s] | 손실 0.32
| 에폭 192 |  반복 161 / 351 | 시간 3[s] | 손실 0.30
| 에폭 192 |  반복 181 / 351 | 시간 4[s] | 손실 0.32
| 에폭 192 |  반복 201 / 351 | 시간 4[s] | 손실 0.32
| 에폭 192 |  반복 221 / 351 | 시간 5[s] | 손실 0.31
| 에폭 192 |  반복 241 / 351 | 시간 5[s] | 손실 0.31
| 에폭 192 |  반복 261 / 351 | 시간 6[s] | 손실 0.30
| 에폭 192 |  반복 281 / 351 | 시간 6[s] | 손실 0.30
| 에폭 192 |  반복 301 / 351 | 시간 7[s] | 손실 0.32
| 에폭 192 |  반복 321 / 351 | 시간 7[s] | 손실 0.31
| 에폭 192 |  반복 341 / 351 | 시간 8[s] | 손실 0.31
| 에폭 192 |  반복 1 / 351 | 시간 0[s] | 손실 0.28
| 에폭 192 |  반복 21 / 351 | 시간 0[s] | 손실 0.31
| 에폭 192 |  반복 41 / 351 | 시간 1[s] | 손실 0.32
| 에폭 192 |  반복 61 / 351 | 시간 1[s] | 손실 0.34
| 에폭 192 |  반복 81 / 351 | 시간 2[s] | 손실 0.34
| 에폭 192 |  반복 101 / 351 | 시간 2[s] | 손실 0.34
| 에폭 192 |  반복 121 / 351 | 시간 3[s] | 손실 0.34
| 에폭 192 |  반복 141 / 351 | 시간 3[s] | 손실 0.36
| 에폭 192 |  반복 161 / 351 | 시간 4[s] | 손실 0.36
| 에폭 192 |  반복 181 / 351 | 시간 4[s] | 손실 0.34
| 에폭 192 |  반복 201 / 351 | 시간 5[s] | 손실 0.34
| 에폭 192 |  반복 221 / 351 | 시간 5[s] | 손실 0.35
| 에폭 192 |  반복 241 / 351 | 시간 6[s] | 손실 0.35
| 에폭 192 |  반복 261 / 351 | 시간 6[s] | 손실 0.34
| 에폭 192 |  반복 281 / 351 | 시간 7[s] | 손실 0.32
| 에폭 192 |  반복 301 / 351 | 시간 7[s] | 손실 0.33
| 에폭 192 |  반복 321 / 351 | 시간 8[s] | 손실 0.33
| 에폭 192 |  반복 341 / 351 | 시간 8[s] | 손실 0.33
evaluate time : 250.0455265045166
검증 정확도 56.900%
| 에폭 193 |  반복 1 / 351 | 시간 0[s] | 손실 0.38
| 에폭 193 |  반복 21 / 351 | 시간 0[s] | 손실 0.37
| 에폭 193 |  반복 41 / 351 | 시간 1[s] | 손실 0.38
| 에폭 193 |  반복 61 / 351 | 시간 1[s] | 손실 0.41
| 에폭 193 |  반복 81 / 351 | 시간 2[s] | 손실 0.43
| 에폭 193 |  반복 101 / 351 | 시간 2[s] | 손실 0.40
| 에폭 193 |  반복 121 / 351 | 시간 3[s] | 손실 0.41
| 에폭 193 |  반복 141 / 351 | 시간 3[s] | 손실 0.40
| 에폭 193 |  반복 161 / 351 | 시간 4[s] | 손실 0.42
| 에폭 193 |  반복 181 / 351 | 시간 4[s] | 손실 0.39
| 에폭 193 |  반복 201 / 351 | 시간 5[s] | 손실 0.39
| 에폭 193 |  반복 221 / 351 | 시간 5[s] | 손실 0.39
| 에폭 193 |  반복 241 / 351 | 시간 6[s] | 손실 0.39
| 에폭 193 |  반복 261 / 351 | 시간 6[s] | 손실 0.39
| 에폭 193 |  반복 281 / 351 | 시간 6[s] | 손실 0.39
| 에폭 193 |  반복 301 / 351 | 시간 7[s] | 손실 0.40
| 에폭 193 |  반복 321 / 351 | 시간 7[s] | 손실 0.39
| 에폭 193 |  반복 341 / 351 | 시간 8[s] | 손실 0.39
| 에폭 193 |  반복 1 / 351 | 시간 0[s] | 손실 0.31
| 에폭 193 |  반복 21 / 351 | 시간 0[s] | 손실 0.31
| 에폭 193 |  반복 41 / 351 | 시간 1[s] | 손실 0.32
| 에폭 193 |  반복 61 / 351 | 시간 1[s] | 손실 0.31
| 에폭 193 |  반복 81 / 351 | 시간 2[s] | 손실 0.30
| 에폭 193 |  반복 101 / 351 | 시간 2[s] | 손실 0.29
| 에폭 193 |  반복 121 / 351 | 시간 2[s] | 손실 0.30
| 에폭 193 |  반복 141 / 351 | 시간 3[s] | 손실 0.30
| 에폭 193 |  반복 161 / 351 | 시간 3[s] | 손실 0.32
| 에폭 193 |  반복 181 / 351 | 시간 4[s] | 손실 0.33
| 에폭 193 |  반복 201 / 351 | 시간 4[s] | 손실 0.31
| 에폭 193 |  반복 221 / 351 | 시간 5[s] | 손실 0.32
| 에폭 193 |  반복 241 / 351 | 시간 5[s] | 손실 0.31
| 에폭 193 |  반복 261 / 351 | 시간 6[s] | 손실 0.31
| 에폭 193 |  반복 281 / 351 | 시간 6[s] | 손실 0.31
| 에폭 193 |  반복 301 / 351 | 시간 7[s] | 손실 0.34
| 에폭 193 |  반복 321 / 351 | 시간 7[s] | 손실 0.34
| 에폭 193 |  반복 341 / 351 | 시간 8[s] | 손실 0.34
| 에폭 193 |  반복 1 / 351 | 시간 0[s] | 손실 0.30
| 에폭 193 |  반복 21 / 351 | 시간 0[s] | 손실 0.33
| 에폭 193 |  반복 41 / 351 | 시간 1[s] | 손실 0.32
| 에폭 193 |  반복 61 / 351 | 시간 1[s] | 손실 0.32
| 에폭 193 |  반복 81 / 351 | 시간 1[s] | 손실 0.31
| 에폭 193 |  반복 101 / 351 | 시간 2[s] | 손실 0.33
| 에폭 193 |  반복 121 / 351 | 시간 2[s] | 손실 0.32
| 에폭 193 |  반복 141 / 351 | 시간 3[s] | 손실 0.31
| 에폭 193 |  반복 161 / 351 | 시간 3[s] | 손실 0.32
| 에폭 193 |  반복 181 / 351 | 시간 4[s] | 손실 0.32
| 에폭 193 |  반복 201 / 351 | 시간 4[s] | 손실 0.31
| 에폭 193 |  반복 221 / 351 | 시간 5[s] | 손실 0.29
| 에폭 193 |  반복 241 / 351 | 시간 5[s] | 손실 0.32
| 에폭 193 |  반복 261 / 351 | 시간 6[s] | 손실 0.32
| 에폭 193 |  반복 281 / 351 | 시간 6[s] | 손실 0.32
| 에폭 193 |  반복 301 / 351 | 시간 7[s] | 손실 0.30
| 에폭 193 |  반복 321 / 351 | 시간 7[s] | 손실 0.30
| 에폭 193 |  반복 341 / 351 | 시간 8[s] | 손실 0.30
| 에폭 193 |  반복 1 / 351 | 시간 0[s] | 손실 0.38
| 에폭 193 |  반복 21 / 351 | 시간 0[s] | 손실 0.29
| 에폭 193 |  반복 41 / 351 | 시간 1[s] | 손실 0.31
| 에폭 193 |  반복 61 / 351 | 시간 1[s] | 손실 0.31
| 에폭 193 |  반복 81 / 351 | 시간 2[s] | 손실 0.31
| 에폭 193 |  반복 101 / 351 | 시간 2[s] | 손실 0.32
| 에폭 193 |  반복 121 / 351 | 시간 3[s] | 손실 0.33
| 에폭 193 |  반복 141 / 351 | 시간 3[s] | 손실 0.32
| 에폭 193 |  반복 161 / 351 | 시간 4[s] | 손실 0.30
| 에폭 193 |  반복 181 / 351 | 시간 4[s] | 손실 0.31
| 에폭 193 |  반복 201 / 351 | 시간 5[s] | 손실 0.31
| 에폭 193 |  반복 221 / 351 | 시간 5[s] | 손실 0.30
| 에폭 193 |  반복 241 / 351 | 시간 6[s] | 손실 0.31
| 에폭 193 |  반복 261 / 351 | 시간 6[s] | 손실 0.32
| 에폭 193 |  반복 281 / 351 | 시간 7[s] | 손실 0.32
| 에폭 193 |  반복 301 / 351 | 시간 7[s] | 손실 0.31
| 에폭 193 |  반복 321 / 351 | 시간 8[s] | 손실 0.31
| 에폭 193 |  반복 341 / 351 | 시간 8[s] | 손실 0.32
| 에폭 193 |  반복 1 / 351 | 시간 0[s] | 손실 0.31
| 에폭 193 |  반복 21 / 351 | 시간 0[s] | 손실 0.32
| 에폭 193 |  반복 41 / 351 | 시간 1[s] | 손실 0.34
| 에폭 193 |  반복 61 / 351 | 시간 1[s] | 손실 0.35
| 에폭 193 |  반복 81 / 351 | 시간 2[s] | 손실 0.34
| 에폭 193 |  반복 101 / 351 | 시간 2[s] | 손실 0.35
| 에폭 193 |  반복 121 / 351 | 시간 3[s] | 손실 0.35
| 에폭 193 |  반복 141 / 351 | 시간 3[s] | 손실 0.35
| 에폭 193 |  반복 161 / 351 | 시간 4[s] | 손실 0.32
| 에폭 193 |  반복 181 / 351 | 시간 4[s] | 손실 0.31
| 에폭 193 |  반복 201 / 351 | 시간 5[s] | 손실 0.31
| 에폭 193 |  반복 221 / 351 | 시간 5[s] | 손실 0.33
| 에폭 193 |  반복 241 / 351 | 시간 6[s] | 손실 0.33
| 에폭 193 |  반복 261 / 351 | 시간 6[s] | 손실 0.33
| 에폭 193 |  반복 281 / 351 | 시간 7[s] | 손실 0.32
| 에폭 193 |  반복 301 / 351 | 시간 7[s] | 손실 0.35
| 에폭 193 |  반복 321 / 351 | 시간 8[s] | 손실 0.32
| 에폭 193 |  반복 341 / 351 | 시간 8[s] | 손실 0.34
evaluate time : 250.8908543586731
검증 정확도 56.680%
| 에폭 194 |  반복 1 / 351 | 시간 0[s] | 손실 0.41
| 에폭 194 |  반복 21 / 351 | 시간 0[s] | 손실 0.39
| 에폭 194 |  반복 41 / 351 | 시간 1[s] | 손실 0.41
| 에폭 194 |  반복 61 / 351 | 시간 1[s] | 손실 0.41
| 에폭 194 |  반복 81 / 351 | 시간 2[s] | 손실 0.42
| 에폭 194 |  반복 101 / 351 | 시간 2[s] | 손실 0.40
| 에폭 194 |  반복 121 / 351 | 시간 3[s] | 손실 0.40
| 에폭 194 |  반복 141 / 351 | 시간 3[s] | 손실 0.39
| 에폭 194 |  반복 161 / 351 | 시간 4[s] | 손실 0.39
| 에폭 194 |  반복 181 / 351 | 시간 4[s] | 손실 0.40
| 에폭 194 |  반복 201 / 351 | 시간 4[s] | 손실 0.37
| 에폭 194 |  반복 221 / 351 | 시간 5[s] | 손실 0.39
| 에폭 194 |  반복 241 / 351 | 시간 5[s] | 손실 0.39
| 에폭 194 |  반복 261 / 351 | 시간 6[s] | 손실 0.39
| 에폭 194 |  반복 281 / 351 | 시간 6[s] | 손실 0.38
| 에폭 194 |  반복 301 / 351 | 시간 7[s] | 손실 0.38
| 에폭 194 |  반복 321 / 351 | 시간 7[s] | 손실 0.38
| 에폭 194 |  반복 341 / 351 | 시간 8[s] | 손실 0.38
| 에폭 194 |  반복 1 / 351 | 시간 0[s] | 손실 0.31
| 에폭 194 |  반복 21 / 351 | 시간 0[s] | 손실 0.30
| 에폭 194 |  반복 41 / 351 | 시간 1[s] | 손실 0.30
| 에폭 194 |  반복 61 / 351 | 시간 1[s] | 손실 0.31
| 에폭 194 |  반복 81 / 351 | 시간 1[s] | 손실 0.30
| 에폭 194 |  반복 101 / 351 | 시간 2[s] | 손실 0.31
| 에폭 194 |  반복 121 / 351 | 시간 2[s] | 손실 0.33
| 에폭 194 |  반복 141 / 351 | 시간 3[s] | 손실 0.32
| 에폭 194 |  반복 161 / 351 | 시간 3[s] | 손실 0.32
| 에폭 194 |  반복 181 / 351 | 시간 4[s] | 손실 0.31
| 에폭 194 |  반복 201 / 351 | 시간 4[s] | 손실 0.31
| 에폭 194 |  반복 221 / 351 | 시간 5[s] | 손실 0.33
| 에폭 194 |  반복 241 / 351 | 시간 5[s] | 손실 0.31
| 에폭 194 |  반복 261 / 351 | 시간 6[s] | 손실 0.31
| 에폭 194 |  반복 281 / 351 | 시간 6[s] | 손실 0.31
| 에폭 194 |  반복 301 / 351 | 시간 7[s] | 손실 0.31
| 에폭 194 |  반복 321 / 351 | 시간 7[s] | 손실 0.29
| 에폭 194 |  반복 341 / 351 | 시간 8[s] | 손실 0.30
| 에폭 194 |  반복 1 / 351 | 시간 0[s] | 손실 0.27
| 에폭 194 |  반복 21 / 351 | 시간 0[s] | 손실 0.30
| 에폭 194 |  반복 41 / 351 | 시간 1[s] | 손실 0.32
| 에폭 194 |  반복 61 / 351 | 시간 1[s] | 손실 0.32
| 에폭 194 |  반복 81 / 351 | 시간 2[s] | 손실 0.35
| 에폭 194 |  반복 101 / 351 | 시간 2[s] | 손실 0.33
| 에폭 194 |  반복 121 / 351 | 시간 2[s] | 손실 0.32
| 에폭 194 |  반복 141 / 351 | 시간 3[s] | 손실 0.34
| 에폭 194 |  반복 161 / 351 | 시간 3[s] | 손실 0.30
| 에폭 194 |  반복 181 / 351 | 시간 4[s] | 손실 0.32
| 에폭 194 |  반복 201 / 351 | 시간 4[s] | 손실 0.30
| 에폭 194 |  반복 221 / 351 | 시간 5[s] | 손실 0.32
| 에폭 194 |  반복 241 / 351 | 시간 5[s] | 손실 0.30
| 에폭 194 |  반복 261 / 351 | 시간 6[s] | 손실 0.33
| 에폭 194 |  반복 281 / 351 | 시간 6[s] | 손실 0.32
| 에폭 194 |  반복 301 / 351 | 시간 7[s] | 손실 0.31
| 에폭 194 |  반복 321 / 351 | 시간 7[s] | 손실 0.31
| 에폭 194 |  반복 341 / 351 | 시간 8[s] | 손실 0.31
| 에폭 194 |  반복 1 / 351 | 시간 0[s] | 손실 0.31
| 에폭 194 |  반복 21 / 351 | 시간 0[s] | 손실 0.30
| 에폭 194 |  반복 41 / 351 | 시간 1[s] | 손실 0.32
| 에폭 194 |  반복 61 / 351 | 시간 1[s] | 손실 0.31
| 에폭 194 |  반복 81 / 351 | 시간 2[s] | 손실 0.31
| 에폭 194 |  반복 101 / 351 | 시간 2[s] | 손실 0.31
| 에폭 194 |  반복 121 / 351 | 시간 3[s] | 손실 0.33
| 에폭 194 |  반복 141 / 351 | 시간 3[s] | 손실 0.32
| 에폭 194 |  반복 161 / 351 | 시간 4[s] | 손실 0.30
| 에폭 194 |  반복 181 / 351 | 시간 4[s] | 손실 0.31
| 에폭 194 |  반복 201 / 351 | 시간 4[s] | 손실 0.31
| 에폭 194 |  반복 221 / 351 | 시간 5[s] | 손실 0.31
| 에폭 194 |  반복 241 / 351 | 시간 5[s] | 손실 0.32
| 에폭 194 |  반복 261 / 351 | 시간 6[s] | 손실 0.32
| 에폭 194 |  반복 281 / 351 | 시간 6[s] | 손실 0.31
| 에폭 194 |  반복 301 / 351 | 시간 7[s] | 손실 0.32
| 에폭 194 |  반복 321 / 351 | 시간 7[s] | 손실 0.32
| 에폭 194 |  반복 341 / 351 | 시간 8[s] | 손실 0.31
| 에폭 194 |  반복 1 / 351 | 시간 0[s] | 손실 0.30
| 에폭 194 |  반복 21 / 351 | 시간 0[s] | 손실 0.32
| 에폭 194 |  반복 41 / 351 | 시간 1[s] | 손실 0.34
| 에폭 194 |  반복 61 / 351 | 시간 1[s] | 손실 0.35
| 에폭 194 |  반복 81 / 351 | 시간 2[s] | 손실 0.35
| 에폭 194 |  반복 101 / 351 | 시간 2[s] | 손실 0.34
| 에폭 194 |  반복 121 / 351 | 시간 3[s] | 손실 0.35
| 에폭 194 |  반복 141 / 351 | 시간 3[s] | 손실 0.33
| 에폭 194 |  반복 161 / 351 | 시간 3[s] | 손실 0.33
| 에폭 194 |  반복 181 / 351 | 시간 4[s] | 손실 0.35
| 에폭 194 |  반복 201 / 351 | 시간 4[s] | 손실 0.34
| 에폭 194 |  반복 221 / 351 | 시간 5[s] | 손실 0.34
| 에폭 194 |  반복 241 / 351 | 시간 5[s] | 손실 0.33
| 에폭 194 |  반복 261 / 351 | 시간 6[s] | 손실 0.34
| 에폭 194 |  반복 281 / 351 | 시간 6[s] | 손실 0.32
| 에폭 194 |  반복 301 / 351 | 시간 7[s] | 손실 0.32
| 에폭 194 |  반복 321 / 351 | 시간 7[s] | 손실 0.33
| 에폭 194 |  반복 341 / 351 | 시간 8[s] | 손실 0.33
evaluate time : 208.74299430847168
검증 정확도 57.280%
| 에폭 195 |  반복 1 / 351 | 시간 0[s] | 손실 0.39
| 에폭 195 |  반복 21 / 351 | 시간 0[s] | 손실 0.37
| 에폭 195 |  반복 41 / 351 | 시간 0[s] | 손실 0.39
| 에폭 195 |  반복 61 / 351 | 시간 1[s] | 손실 0.42
| 에폭 195 |  반복 81 / 351 | 시간 1[s] | 손실 0.42
| 에폭 195 |  반복 101 / 351 | 시간 1[s] | 손실 0.41
| 에폭 195 |  반복 121 / 351 | 시간 2[s] | 손실 0.42
| 에폭 195 |  반복 141 / 351 | 시간 2[s] | 손실 0.43
| 에폭 195 |  반복 161 / 351 | 시간 3[s] | 손실 0.40
| 에폭 195 |  반복 181 / 351 | 시간 3[s] | 손실 0.39
| 에폭 195 |  반복 201 / 351 | 시간 3[s] | 손실 0.39
| 에폭 195 |  반복 221 / 351 | 시간 4[s] | 손실 0.40
| 에폭 195 |  반복 241 / 351 | 시간 4[s] | 손실 0.39
| 에폭 195 |  반복 261 / 351 | 시간 5[s] | 손실 0.38
| 에폭 195 |  반복 281 / 351 | 시간 5[s] | 손실 0.40
| 에폭 195 |  반복 301 / 351 | 시간 5[s] | 손실 0.38
| 에폭 195 |  반복 321 / 351 | 시간 6[s] | 손실 0.39
| 에폭 195 |  반복 341 / 351 | 시간 6[s] | 손실 0.39
| 에폭 195 |  반복 1 / 351 | 시간 0[s] | 손실 0.27
| 에폭 195 |  반복 21 / 351 | 시간 0[s] | 손실 0.29
| 에폭 195 |  반복 41 / 351 | 시간 0[s] | 손실 0.30
| 에폭 195 |  반복 61 / 351 | 시간 1[s] | 손실 0.31
| 에폭 195 |  반복 81 / 351 | 시간 1[s] | 손실 0.31
| 에폭 195 |  반복 101 / 351 | 시간 1[s] | 손실 0.32
| 에폭 195 |  반복 121 / 351 | 시간 2[s] | 손실 0.31
| 에폭 195 |  반복 141 / 351 | 시간 2[s] | 손실 0.31
| 에폭 195 |  반복 161 / 351 | 시간 3[s] | 손실 0.32
| 에폭 195 |  반복 181 / 351 | 시간 3[s] | 손실 0.33
| 에폭 195 |  반복 201 / 351 | 시간 3[s] | 손실 0.31
| 에폭 195 |  반복 221 / 351 | 시간 4[s] | 손실 0.30
| 에폭 195 |  반복 241 / 351 | 시간 4[s] | 손실 0.30
| 에폭 195 |  반복 261 / 351 | 시간 4[s] | 손실 0.31
| 에폭 195 |  반복 281 / 351 | 시간 5[s] | 손실 0.31
| 에폭 195 |  반복 301 / 351 | 시간 5[s] | 손실 0.32
| 에폭 195 |  반복 321 / 351 | 시간 6[s] | 손실 0.31
| 에폭 195 |  반복 341 / 351 | 시간 6[s] | 손실 0.30
| 에폭 195 |  반복 1 / 351 | 시간 0[s] | 손실 0.27
| 에폭 195 |  반복 21 / 351 | 시간 0[s] | 손실 0.29
| 에폭 195 |  반복 41 / 351 | 시간 0[s] | 손실 0.31
| 에폭 195 |  반복 61 / 351 | 시간 1[s] | 손실 0.31
| 에폭 195 |  반복 81 / 351 | 시간 1[s] | 손실 0.30
| 에폭 195 |  반복 101 / 351 | 시간 1[s] | 손실 0.31
| 에폭 195 |  반복 121 / 351 | 시간 2[s] | 손실 0.31
| 에폭 195 |  반복 141 / 351 | 시간 2[s] | 손실 0.31
| 에폭 195 |  반복 161 / 351 | 시간 3[s] | 손실 0.32
| 에폭 195 |  반복 181 / 351 | 시간 3[s] | 손실 0.30
| 에폭 195 |  반복 201 / 351 | 시간 3[s] | 손실 0.31
| 에폭 195 |  반복 221 / 351 | 시간 4[s] | 손실 0.34
| 에폭 195 |  반복 241 / 351 | 시간 4[s] | 손실 0.33
| 에폭 195 |  반복 261 / 351 | 시간 5[s] | 손실 0.33
| 에폭 195 |  반복 281 / 351 | 시간 5[s] | 손실 0.35
| 에폭 195 |  반복 301 / 351 | 시간 5[s] | 손실 0.32
| 에폭 195 |  반복 321 / 351 | 시간 6[s] | 손실 0.31
| 에폭 195 |  반복 341 / 351 | 시간 6[s] | 손실 0.31
| 에폭 195 |  반복 1 / 351 | 시간 0[s] | 손실 0.34
| 에폭 195 |  반복 21 / 351 | 시간 0[s] | 손실 0.30
| 에폭 195 |  반복 41 / 351 | 시간 0[s] | 손실 0.31
| 에폭 195 |  반복 61 / 351 | 시간 1[s] | 손실 0.31
| 에폭 195 |  반복 81 / 351 | 시간 1[s] | 손실 0.31
| 에폭 195 |  반복 101 / 351 | 시간 1[s] | 손실 0.32
| 에폭 195 |  반복 121 / 351 | 시간 2[s] | 손실 0.32
| 에폭 195 |  반복 141 / 351 | 시간 2[s] | 손실 0.31
| 에폭 195 |  반복 161 / 351 | 시간 3[s] | 손실 0.32
| 에폭 195 |  반복 181 / 351 | 시간 3[s] | 손실 0.32
| 에폭 195 |  반복 201 / 351 | 시간 3[s] | 손실 0.31
| 에폭 195 |  반복 221 / 351 | 시간 4[s] | 손실 0.31
| 에폭 195 |  반복 241 / 351 | 시간 4[s] | 손실 0.31
| 에폭 195 |  반복 261 / 351 | 시간 4[s] | 손실 0.33
| 에폭 195 |  반복 281 / 351 | 시간 5[s] | 손실 0.33
| 에폭 195 |  반복 301 / 351 | 시간 5[s] | 손실 0.32
| 에폭 195 |  반복 321 / 351 | 시간 6[s] | 손실 0.32
| 에폭 195 |  반복 341 / 351 | 시간 6[s] | 손실 0.31
| 에폭 195 |  반복 1 / 351 | 시간 0[s] | 손실 0.34
| 에폭 195 |  반복 21 / 351 | 시간 0[s] | 손실 0.32
| 에폭 195 |  반복 41 / 351 | 시간 0[s] | 손실 0.33
| 에폭 195 |  반복 61 / 351 | 시간 1[s] | 손실 0.32
| 에폭 195 |  반복 81 / 351 | 시간 1[s] | 손실 0.33
| 에폭 195 |  반복 101 / 351 | 시간 1[s] | 손실 0.36
| 에폭 195 |  반복 121 / 351 | 시간 2[s] | 손실 0.36
| 에폭 195 |  반복 141 / 351 | 시간 2[s] | 손실 0.33
| 에폭 195 |  반복 161 / 351 | 시간 3[s] | 손실 0.34
| 에폭 195 |  반복 181 / 351 | 시간 3[s] | 손실 0.32
| 에폭 195 |  반복 201 / 351 | 시간 3[s] | 손실 0.32
| 에폭 195 |  반복 221 / 351 | 시간 4[s] | 손실 0.34
| 에폭 195 |  반복 241 / 351 | 시간 4[s] | 손실 0.33
| 에폭 195 |  반복 261 / 351 | 시간 5[s] | 손실 0.32
| 에폭 195 |  반복 281 / 351 | 시간 5[s] | 손실 0.32
| 에폭 195 |  반복 301 / 351 | 시간 5[s] | 손실 0.33
| 에폭 195 |  반복 321 / 351 | 시간 6[s] | 손실 0.33
| 에폭 195 |  반복 341 / 351 | 시간 6[s] | 손실 0.35
evaluate time : 197.2427453994751
검증 정확도 56.420%
| 에폭 196 |  반복 1 / 351 | 시간 0[s] | 손실 0.41
| 에폭 196 |  반복 21 / 351 | 시간 0[s] | 손실 0.38
| 에폭 196 |  반복 41 / 351 | 시간 0[s] | 손실 0.39
| 에폭 196 |  반복 61 / 351 | 시간 1[s] | 손실 0.44
| 에폭 196 |  반복 81 / 351 | 시간 1[s] | 손실 0.43
| 에폭 196 |  반복 101 / 351 | 시간 1[s] | 손실 0.40
| 에폭 196 |  반복 121 / 351 | 시간 2[s] | 손실 0.41
| 에폭 196 |  반복 141 / 351 | 시간 2[s] | 손실 0.42
| 에폭 196 |  반복 161 / 351 | 시간 3[s] | 손실 0.41
| 에폭 196 |  반복 181 / 351 | 시간 3[s] | 손실 0.38
| 에폭 196 |  반복 201 / 351 | 시간 3[s] | 손실 0.40
| 에폭 196 |  반복 221 / 351 | 시간 4[s] | 손실 0.41
| 에폭 196 |  반복 241 / 351 | 시간 4[s] | 손실 0.40
| 에폭 196 |  반복 261 / 351 | 시간 5[s] | 손실 0.38
| 에폭 196 |  반복 281 / 351 | 시간 5[s] | 손실 0.40
| 에폭 196 |  반복 301 / 351 | 시간 5[s] | 손실 0.39
| 에폭 196 |  반복 321 / 351 | 시간 6[s] | 손실 0.39
| 에폭 196 |  반복 341 / 351 | 시간 6[s] | 손실 0.40
| 에폭 196 |  반복 1 / 351 | 시간 0[s] | 손실 0.33
| 에폭 196 |  반복 21 / 351 | 시간 0[s] | 손실 0.28
| 에폭 196 |  반복 41 / 351 | 시간 0[s] | 손실 0.29
| 에폭 196 |  반복 61 / 351 | 시간 1[s] | 손실 0.29
| 에폭 196 |  반복 81 / 351 | 시간 1[s] | 손실 0.30
| 에폭 196 |  반복 101 / 351 | 시간 1[s] | 손실 0.30
| 에폭 196 |  반복 121 / 351 | 시간 2[s] | 손실 0.30
| 에폭 196 |  반복 141 / 351 | 시간 2[s] | 손실 0.30
| 에폭 196 |  반복 161 / 351 | 시간 3[s] | 손실 0.30
| 에폭 196 |  반복 181 / 351 | 시간 3[s] | 손실 0.32
| 에폭 196 |  반복 201 / 351 | 시간 3[s] | 손실 0.31
| 에폭 196 |  반복 221 / 351 | 시간 4[s] | 손실 0.31
| 에폭 196 |  반복 241 / 351 | 시간 4[s] | 손실 0.30
| 에폭 196 |  반복 261 / 351 | 시간 5[s] | 손실 0.30
| 에폭 196 |  반복 281 / 351 | 시간 5[s] | 손실 0.32
| 에폭 196 |  반복 301 / 351 | 시간 5[s] | 손실 0.33
| 에폭 196 |  반복 321 / 351 | 시간 6[s] | 손실 0.32
| 에폭 196 |  반복 341 / 351 | 시간 6[s] | 손실 0.30
| 에폭 196 |  반복 1 / 351 | 시간 0[s] | 손실 0.34
| 에폭 196 |  반복 21 / 351 | 시간 0[s] | 손실 0.31
| 에폭 196 |  반복 41 / 351 | 시간 0[s] | 손실 0.30
| 에폭 196 |  반복 61 / 351 | 시간 1[s] | 손실 0.32
| 에폭 196 |  반복 81 / 351 | 시간 1[s] | 손실 0.31
| 에폭 196 |  반복 101 / 351 | 시간 1[s] | 손실 0.33
| 에폭 196 |  반복 121 / 351 | 시간 2[s] | 손실 0.30
| 에폭 196 |  반복 141 / 351 | 시간 2[s] | 손실 0.30
| 에폭 196 |  반복 161 / 351 | 시간 3[s] | 손실 0.31
